Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0056321,0.0015115,-0.0091874,0,0,0,3.9841,0.0074863,2.0106E-05,-0.00022344,0.0074383,2.4927E-05,0.0056237,0,0,0,0,0,0,package://bdx/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://bdx/meshes/base_link.STL,,assembly_body-1/frame_hip_actuator_clamp-1;assembly_body-1/actuator-Unitree-GO-M8010-6-model-3;assembly_body-1/actuator-Unitree-GO-M8010-6-model-2;assembly_body-1/frame_motor_mount_limits-1;assembly_body-1/frame_anchor_front_m6-1;assembly_body-1/frame_front-1;assembly_body-1/frame_core-1;assembly_body-1/frame_battery_go1_plate_a-1;assembly_body-1/frame_bottom-1;assembly_body-1/frame_battery_plate_side-3;assembly_body-1/unitree-go1-battery-pack-model-1;assembly_body-1/board-radxa-rock-5b+-1;assembly_body-1/actuator-Unitree-GO-M8010-6-model-1;assembly_body-1/frame_battery_board_base-2;assembly_body-1/frame_battery_plate_side-5;assembly_body-1/frame_anchors-2;assembly_body-1/frame_anchors-1;assembly_body-1/bd-x-power-1;assembly_body-1/frame_panel_mount-2;assembly_body-1/frame_panel_mount-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
hip_yaw_l_link,0.0036093,0.00042427,-0.062303,0,0,0,0.6235,0.00071581,-2.324E-06,-5.0327E-06,0.00045102,4.7372E-06,0.00039848,0,0,0,0,0,0,package://bdx/meshes/hip_yaw_l_link.STL,0.89412,0.89412,0.89412,1,0,0,0,0,0,0,package://bdx/meshes/hip_yaw_l_link.STL,,left_leg-1/hip_yaw_leg_roll-1;left_leg-1/actuator-Unitree-GO-M8010-6-model-4;left_leg-1/hip_yaw_joint-1,hip_yaw_l,axis_hip_yaw_l,hip_yaw_l,revolute,0,0.0485,0.0004,0,0,0,base_link,0,0,1,20,30,-0.3,0.3,,,1,0.01,,,,
hip_roll_l_link,0.0086786,0.030071,3.3605E-14,0,0,0,0.15867,9.587E-05,7.3859E-07,-1.1796E-19,5.5507E-05,1.4225E-20,7.4129E-05,0,0,0,0,0,0,package://bdx/meshes/hip_roll_l_link.STL,0.86667,0.9098,1,1,0,0,0,0,0,0,package://bdx/meshes/hip_roll_l_link.STL,,left_leg-1/assembly_hip_roll_pitch_joint-1/hip_roll_leg_pitch_joint_b-1;left_leg-1/assembly_hip_roll_pitch_joint-1/hip_roll_leg_pitch_joint_a-1,hip_roll_l,axis_hip_roll_l,hip_roll_l,revolute,0.0181,0,-0.065398,0,0,0,hip_yaw_l_link,-1,0,0,20,30,-0.25,0.25,,,1,0.07,,,,
hip_pitch_l_link,-0.0149182055486898,0.0160634253329831,-0.0523898789181123,0,0,0,1.33626881380817,0.00139502313417813,-1.0527153079192E-05,0.000212385300853686,0.0022120427413461,-7.12441659196506E-06,0.00109094805529407,0,0,0,0,0,0,package://bdx/meshes/hip_pitch_l_link.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://bdx/meshes/hip_pitch_l_link.STL,,left_leg-1/upper_leg-1;left_leg-1/actuator-Unitree-GO-M8010-6-model-1;left_leg-1/actuator-Unitree-GO-M8010-6-model-2;left_leg-1/leg_panel_v2-2;left_leg-1/tube_connector-2;left_leg-1/tube_connector-1,hip_pitch_l,axis_hip_pitch_l,hip_pitch_l,revolute,0.006961,0.0665,0,0,0,0,hip_roll_l_link,0,1,0,20,30,0,1.9,,,0.4,0.03,,,,
knee_pitch_l_link,-0.0377043292127866,-0.0123631073655921,-0.0989847188662296,0,0,0,0.77842876704391,0.000630340728098765,-3.24599122380207E-06,0.00011342633333145,0.000992487660414723,-1.16201596450089E-06,0.000511343542857538,0,0,0,0,0,0,package://bdx/meshes/knee_pitch_l_link.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://bdx/meshes/knee_pitch_l_link.STL,,left_leg-1/lower_leg_pitch-2;left_leg-1/actuator-Unitree-GO-M8010-6-model-3,knee_pitch_l,axis_knee_pitch_l,knee_pitch_l,revolute,-0.028729,0,-0.10722,0,0,0,hip_pitch_l_link,0,1,0,20,30,-1.95,0,,,1,0.01,,,,
ankle_pitch_l_link,0.0295179434793017,-0.00832841585761443,-0.0548272141790276,0,0,0,0.28226677869091,0.000150325046351411,-1.58558042145394E-05,-1.96679401468079E-05,0.000754571216877983,3.20346294189597E-05,0.000708369089914096,0,0,0,0,0,0,package://bdx/meshes/ankle_pitch_l_link.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://bdx/meshes/ankle_pitch_l_link.STL,,left_leg-1/foot_pad_rubber_sticker-1;left_leg-1/foot_base-1,ankle_pitch_l,axis_ankle_pitch_l,ankle_pitch_l,revolute,-0.040057,0.0026,-0.12592,0,0,0,knee_pitch_l_link,0,-1,0,20,30,-1.8,1,,,0.8,0.01,,,,
hip_yaw_r_link,0.0038642777011793,-0.000424273732976037,-0.0573032446083692,0,0,0,0.623502512112406,0.000715805974775317,2.32403940173417E-06,-5.03275024429788E-06,0.000451019889345999,-4.73682668435994E-06,0.000398482482226566,0,0,0,0,0,0,package://bdx/meshes/hip_yaw_r_link.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://bdx/meshes/hip_yaw_r_link.STL,,right_leg-1/hip_yaw_joint-1;right_leg-1/hip_yaw_leg_roll-1;right_leg-1/actuator-Unitree-GO-M8010-6-model-4,hip_yaw_r,axis_hip_yaw_r,hip_yaw_r,revolute,0,-0.0485,-0.0046,0,0,0,base_link,0,0,1,20,30,-0.3,0.3,,,1,0.01,,,,
hip_roll_r_link,0.00377003456160977,-0.0280042943439451,3.71647157493271E-14,0,0,0,0.158673548954418,9.58696905862333E-05,-7.38586517552069E-07,1.22465946687328E-19,5.55069989615015E-05,1.65559375132329E-20,7.41291689416252E-05,0,0,0,0,0,0,package://bdx/meshes/hip_roll_r_link.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://bdx/meshes/hip_roll_r_link.STL,,right_leg-1/assembly_hip_roll_pitch_joint-1/hip_roll_leg_pitch_joint_b-1;right_leg-1/assembly_hip_roll_pitch_joint-1/hip_roll_leg_pitch_joint_a-1,hip_roll_r,axis_hip_roll_r,hip_roll_r,revolute,0.023309,-0.0020671,-0.060398,0,0,0,hip_yaw_r_link,-1,0,0,20,30,-0.25,0.25,,,1,0.07,,,,
hip_pitch_r_link,-0.0149181644649748,-0.0210633744852611,-0.0523897909004723,0,0,0,1.33626753209633,0.0013950224147786,1.05274327267242E-05,0.000212384510321043,0.00221204349035,7.12462174434176E-06,0.00109094857617173,0,0,0,0,0,0,package://bdx/meshes/hip_pitch_r_link.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://bdx/meshes/hip_pitch_r_link.STL,,right_leg-1/upper_leg-1;right_leg-1/actuator-Unitree-GO-M8010-6-model-1;right_leg-1/tube_connector-1;right_leg-1/tube_connector-2;right_leg-1/actuator-Unitree-GO-M8010-6-model-2;right_leg-1/leg_panel_v2-2,hip_pitch_r,axis_hip_pitch_r,hip_pitch_r,revolute,0.0020525,-0.059433,0,0,0,0,hip_roll_r_link,0,-1,0,20,30,-1.9,0,,,0.4,0.03,,,,
knee_pitch_r_link,-0.0377043265130318,0.00536310791113587,-0.0989847247057995,0,0,0,0.778428636169197,0.000630340660184972,3.24598208150556E-06,0.000113426271808551,0.000992487518382723,1.16200728659573E-06,0.000511343475217067,0,0,0,0,0,0,package://bdx/meshes/knee_pitch_r_link.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://bdx/meshes/knee_pitch_r_link.STL,,right_leg-1/lower_leg_pitch-2;right_leg-1/actuator-Unitree-GO-M8010-6-model-3,knee_pitch_r,axis_knee_pitch_r,knee_pitch_r,revolute,-0.028729,0.002,-0.10722,0,0,0,hip_pitch_r_link,0,-1,0,20,30,0,1.95,,,1,0.01,,,,
